src_core,dst_core,latency_ns
0,0,-1
0,1,113
0,2,113
0,3,112
0,4,118
0,5,118
0,6,118
0,7,118
0,8,288
0,9,287
0,10,289
0,11,287
0,12,295
0,13,293
0,14,295
0,15,294
0,16,290
0,17,289
0,18,290
0,19,286
0,20,290
0,21,289
0,22,291
0,23,290
0,24,285
0,25,284
0,26,285
0,27,284
0,28,292
0,29,290
0,30,292
0,31,291
0,32,308
0,33,307
0,34,309
0,35,307
0,36,315
0,37,314
0,38,315
0,39,314
0,40,308
0,41,307
0,42,308
0,43,307
0,44,313
0,45,311
0,46,313
0,47,312
0,48,317
0,49,316
0,50,318
0,51,316
0,52,324
0,53,323
0,54,324
0,55,323
0,56,312
0,57,311
0,58,313
0,59,311
0,60,319
0,61,318
0,62,319
0,63,319
0,64,459
0,65,458
0,66,459
0,67,457
0,68,465
0,69,464
0,70,466
0,71,465
0,72,452
0,73,451
0,74,453
0,75,451
0,76,460
0,77,457
0,78,459
0,79,458
0,80,460
0,81,460
0,82,461
0,83,459
0,84,467
0,85,465
0,86,468
0,87,467
0,88,462
0,89,461
0,90,463
0,91,461
0,92,468
0,93,467
0,94,468
0,95,468
0,96,449
0,97,449
0,98,450
0,99,447
0,100,454
0,101,448
0,102,450
0,103,455
0,104,444
0,105,444
0,106,445
0,107,442
0,108,451
0,109,449
0,110,463
0,111,457
0,112,458
0,113,463
0,114,465
0,115,463
0,116,472
0,117,470
0,118,472
0,119,471
0,120,465
0,121,460
0,122,459
0,123,457
0,124,465
0,125,458
0,126,459
0,127,461
1,0,113
1,1,-1
1,2,113
1,3,112
1,4,119
1,5,119
1,6,118
1,7,119
1,8,283
1,9,282
1,10,284
1,11,282
1,12,293
1,13,294
1,14,296
1,15,295
1,16,291
1,17,290
1,18,292
1,19,290
1,20,298
1,21,296
1,22,298
1,23,297
1,24,292
1,25,292
1,26,293
1,27,291
1,28,299
1,29,298
1,30,299
1,31,298
1,32,303
1,33,303
1,34,304
1,35,301
1,36,309
1,37,308
1,38,310
1,39,309
1,40,309
1,41,308
1,42,309
1,43,308
1,44,314
1,45,313
1,46,315
1,47,313
1,48,312
1,49,311
1,50,313
1,51,311
1,52,319
1,53,317
1,54,319
1,55,318
1,56,313
1,57,313
1,58,314
1,59,312
1,60,320
1,61,319
1,62,320
1,63,320
1,64,484
1,65,489
1,66,479
1,67,465
1,68,473
1,69,471
1,70,472
1,71,472
1,72,466
1,73,465
1,74,463
1,75,458
1,76,466
1,77,464
1,78,466
1,79,466
1,80,468
1,81,467
1,82,468
1,83,467
1,84,475
1,85,473
1,86,474
1,87,474
1,88,463
1,89,462
1,90,468
1,91,468
1,92,476
1,93,475
1,94,477
1,95,476
1,96,450
1,97,449
1,98,451
1,99,449
1,100,457
1,101,456
1,102,457
1,103,459
1,104,458
1,105,457
1,106,459
1,107,457
1,108,465
1,109,463
1,110,459
1,111,458
1,112,466
1,113,461
1,114,460
1,115,459
1,116,466
1,117,465
1,118,462
1,119,460
1,120,457
1,121,459
1,122,460
1,123,458
1,124,469
1,125,467
1,126,469
1,127,468
2,0,112
2,1,112
2,2,-1
2,3,112
2,4,118
2,5,118
2,6,118
2,7,118
2,8,275
2,9,275
2,10,276
2,11,274
2,12,282
2,13,280
2,14,282
2,15,282
2,16,283
2,17,282
2,18,284
2,19,282
2,20,290
2,21,289
2,22,290
2,23,289
2,24,289
2,25,290
2,26,291
2,27,289
2,28,297
2,29,295
2,30,297
2,31,297
2,32,314
2,33,313
2,34,314
2,35,312
2,36,321
2,37,319
2,38,321
2,39,316
2,40,302
2,41,301
2,42,302
2,43,300
2,44,306
2,45,305
2,46,306
2,47,306
2,48,311
2,49,310
2,50,311
2,51,309
2,52,317
2,53,316
2,54,317
2,55,317
2,56,312
2,57,311
2,58,312
2,59,311
2,60,319
2,61,317
2,62,318
2,63,318
2,64,454
2,65,451
2,66,452
2,67,451
2,68,459
2,69,457
2,70,459
2,71,458
2,72,458
2,73,457
2,74,459
2,75,450
2,76,458
2,77,457
2,78,459
2,79,458
2,80,460
2,81,459
2,82,460
2,83,459
2,84,467
2,85,465
2,86,466
2,87,466
2,88,461
2,89,460
2,90,461
2,91,460
2,92,468
2,93,466
2,94,468
2,95,467
2,96,447
2,97,441
2,98,444
2,99,441
2,100,449
2,101,448
2,102,453
2,103,455
2,104,450
2,105,449
2,106,450
2,107,448
2,108,456
2,109,454
2,110,456
2,111,455
2,112,452
2,113,451
2,114,454
2,115,454
2,116,459
2,117,459
2,118,461
2,119,460
2,120,454
2,121,453
2,122,454
2,123,453
2,124,460
2,125,459
2,126,461
2,127,460
3,0,113
3,1,113
3,2,113
3,3,-1
3,4,118
3,5,118
3,6,118
3,7,118
3,8,277
3,9,276
3,10,278
3,11,276
3,12,284
3,13,282
3,14,284
3,15,283
3,16,285
3,17,284
3,18,285
3,19,284
3,20,292
3,21,290
3,22,292
3,23,291
3,24,286
3,25,285
3,26,287
3,27,285
3,28,293
3,29,291
3,30,293
3,31,292
3,32,305
3,33,302
3,34,303
3,35,301
3,36,310
3,37,308
3,38,310
3,39,309
3,40,303
3,41,302
3,42,304
3,43,302
3,44,308
3,45,306
